ACL000BARA9,  17.5910,  -61.8210,    5.0, TX, BARBUDA                       ,    ,    ,      
ACW00011647,  17.1333,  -61.7833,   19.2,   , ST JOHNS                      ,    ,    ,      
AFW00000472,  43.0667,   74.4667,  637.0, TX, KYRGYZSTAN US MIL BISHKEK     ,    ,    ,      
AQC00914594, -14.3333, -170.7667,   42.4, AS, MALAELOA                      ,    ,    ,      
AQC00914902, -14.2728, -170.6922,   80.8, AS, VAIPITO                       ,    ,    ,      
AQL000NSTP6, -14.2800, -170.7000,    3.0, FL, PAGO PAGO                     ,    ,    ,      
AQW00061705, -14.3306, -170.7136,    3.7, AS, PAGO PAGO WSO AP              ,    ,    , 91765
ASW00082101, -22.3333,  114.0500,   38.1, AS, NW CAPE                       ,    ,    ,      
AYW00057401, -77.7333,  -41.1167,   43.3,   , ELLSWORTH IGY                 ,    ,    ,      
AYW00057701, -75.2333,  -77.1667,  421.2, AR, EIGHTS                        ,    ,    ,      
AYW00057801, -75.9167,  -83.9167,   54.3, VI, SIPLE STN                     ,    ,    , 89083
AYW00067601, -78.1994, -162.1439,   32.0, AS, LITTLE AMERICA                ,    ,    ,      
AYW00068201, -80.0167, -119.5333, 1543.2,   , BYRD STN                      ,    ,    ,      
AYW00068601, -85.0333, -164.6667,  230.1, AS, BEARDMORE CAMP                ,    ,    ,      
AYW00068701, -80.0167, -178.4167,  101.2, AS, BROCKTON STN                  ,    ,    ,      
AYW00077401, -79.4667,   40.5833, 3505.2, AS, PLATEAU STN                   ,    ,    ,      
AYW00086101, -66.2667,  110.5667,   12.2,   , WILKES                        ,    ,    ,      
AYW00086102, -66.4667,  112.2833, -999.9, AS, WILKES ICE CAP STN            ,    ,    ,      
AYW00087601, -77.8833,  166.7333,   24.1,   , MCMURDO SOUND NAF             ,    ,    ,      
AYW00087602, -77.4167,  163.6833,   48.2, AS, MARBLE PT                     ,    ,    ,      
AYW00087603, -77.8833,  166.7333,   26.2, AS, HUT PT                        ,    ,    ,      
AYW00087701, -72.2944,  170.3083,    5.2, AS, ADARE HALLETT                 ,    ,    ,      
AYW00088701, -83.2833,  175.7500,  183.2, AS, LIV                           ,    ,    ,      
AYW00088702, -83.4000,  174.7500,   59.1, AS, BEARDMORE CAMP                ,    ,    ,      
